u_id,section,timestamp,q_id,column,cell_mode,kapr_cumulative,kapr_cell
78,9,1522796635,341,lname,partial,0.06108803191444552,0.05952380952380912
78,9,1522796679,17,race,full,0.06130681014389496,2.1877822944944142e-4
78,9,1522796681,17,sex,full,0.06209588667932328,7.890765354283194e-4
78,9,1522796688,149,sex,full,0.06232068146835118,2.2479478902789896e-4
78,10,1522796721,273,sex,full,2.3560869587824522e-4,2.3560869587824522e-4
78,10,1522796744,20,sex,full,5.086911886374128e-4,2.730824927591676e-4
78,10,1522796788,94,sex,full,7.6184933653199e-4,2.531581478945772e-4
78,10,1522796871,91,sex,full,0.0010349318292914127,2.730824927594227e-4
78,10,1522796896,141,sex,full,0.0012274563853795974,1.9252455608818474e-4
79,1,1522698261,195,fname,full,0.9856630824372761,0.9856630824372761
79,1,1522698383,284,dob,full,1.3971857161821317,0.41152263374485565
79,1,1522698396,284,sex,full,1.4510206814155646,0.053834965233432897
79,1,1522698452,24,sex,full,1.4512774529799308,2.567715643662094e-4
79,1,1522698549,148,sex,full,1.4514818743178453,2.0442133791442885e-4
79,1,1522698725,138,fname,full,1.9544434756250346,0.5029616013071894
79,1,1522698754,91,sex,full,1.9547165581177934,2.730824927588138e-4
79,1,1522698809,207,dob,full,2.6000588701267717,0.6453423120089783
79,1,1522698882,311,fname,full,2.8502166984096,0.2501578282828283
79,1,1522698923,338,dob,full,3.6134799616728634,0.7632632632632634
79,1,1522698929,338,lname,partial,3.7260925742854756,0.11261261261261213
79,1,1522698957,262,fname,partial,3.9184927666856684,0.1924001924001928
79,1,1522699001,255,fname,partial,4.1908239213697644,0.2723311546840961
79,2,1522699128,21,sex,full,2.4591306537521555e-4,2.4591306537521555e-4
79,2,1522699173,68,fname,partial,0.12782377501823694,0.12757786195286172
79,2,1522699180,68,sex,full,0.21331409488355688,0.08549031986531994
79,2,1522699213,147,sex,full,0.2135467819835801,2.3268710002322113e-4
79,2,1522699224,351,dob,partial,0.22819830979300257,0.014651527809422471
79,2,1522699254,85,fname,partial,0.4324466758060749,0.2042483660130723
79,2,1522699286,112,lname,partial,0.586767663460396,0.15432098765432112
79,2,1522699291,112,dob,partial,0.7507337128431121,0.16396604938271608
79,2,1522699339,102,sex,full,0.7510067953358714,2.730824927593689e-4
79,2,1522699357,134,fname,partial,0.9169585927214918,0.16595179738562038
79,2,1522699376,154,lname,partial,1.0065643274885172,0.08960573476702538
79,2,1522699382,215,lname,partial,1.0696956406198301,0.06313131313131293
79,2,1522699427,339,lname,partial,1.1292194501436394,0.05952380952380931
79,2,1522699435,75,sex,full,1.129398757910981,1.7930776734154108e-4
79,2,1522699483,264,fname,partial,1.3871849531971763,0.2577861952861953
79,3,1522699517,30,fname,partial,0.14866405995438253,0.14866405995438253
79,3,1522699544,127,fname,partial,0.44106172077309647,0.29239766081871393
79,3,1522699571,293,sex,full,0.4413266945999166,2.6497382682011406e-4
79,3,1522699578,15,sex,full,0.44158051201382215,2.53817413905566e-4
79,3,1522699590,123,lname,full,0.7567986657736424,0.31521815375982026
79,3,1522699600,69,fname,partial,1.0934990024739788,0.3367003367003364
79,3,1522699615,350,fname,partial,1.2423085262835027,0.14880952380952395
79,3,1522699622,350,dob,partial,1.4208799548549316,0.17857142857142883
79,3,1522699652,87,fname,partial,1.5410947074226256,0.12021475256769398
79,3,1522699664,141,sex,full,1.5412872319787145,1.925245560889799e-4
79,3,1522699703,108,lname,partial,1.5679966336881166,0.02670940170940206
79,3,1522699705,108,dob,partial,1.7965104038685538,0.22851377018043717
79,3,1522699713,94,sex,full,1.7967635620164488,2.5315814789506064e-4
79,3,1522699716,94,lname,full,2.4482660556242055,0.6515024936077567
79,3,1522699734,137,fname,partial,2.5608786682368185,0.11261261261261302
79,3,1522699793,35,fname,partial,2.790653898012049,0.22977522977523046
79,3,1522699800,155,sex,full,2.790880211991011,2.2631397896200056e-4
79,3,1522699819,208,lname,partial,2.9034928246036236,0.11261261261261257
79,3,1522699821,208,dob,full,3.5305905105248394,0.6270976859212158
79,3,1522699836,81,sex,full,3.530791590360115,2.010798352753973e-4
79,3,1522699840,81,lname,full,4.11780456281242,0.5870129724523054
79,3,1522699853,81,reg,partial,4.286309464773205,0.16850490196078471
79,3,1522699870,263,fname,partial,4.593731511325686,0.30742204655248084
79,3,1522699910,345,lname,partial,4.650037817631992,0.05630630630630584
79,3,1522699912,345,dob,full,5.469607387201561,0.8195695695695697
79,4,1522699961,128,fname,partial,0.21981406810035842,0.21981406810035842
79,4,1522699973,28,fname,partial,0.3809492292355191,0.1611351611351607
79,4,1522700019,13,sex,full,0.3812269353472034,2.7770611168431714e-4
79,4,1522700027,150,lname,full,0.9796591744044421,0.5984322390572386
79,4,1522700031,150,sex,full,1.065149494269762,0.08549031986531985
79,4,1522700043,360,fname,full,1.4447850441418848,0.3796355498721229
79,4,1522700058,88,fname,full,2.0797056790625197,0.6349206349206349
79,4,1522700090,243,dob,full,2.9022165015733425,0.8225108225108229
79,4,1522700107,100,lname,full,3.4051781028805315,0.5029616013071889
79,4,1522700112,100,sex,full,3.489430553860923,0.08425245098039147
79,4,1522700125,114,dob,partial,3.4975170248834404,0.008086471022517472
79,4,1522700128,114,lname,partial,3.653351742491415,0.1558347176079744
79,4,1522700160,135,fname,partial,3.819303539877035,0.16595179738562038
79,4,1522700177,32,fname,partial,4.014409359982856,0.19510582010582045
79,4,1522700186,151,lname,partial,4.222742693316188,0.20833333333333215
79,4,1522700194,151,sex,full,4.292187137760632,0.06944444444444464
79,4,1522700212,213,lname,partial,4.312028407601902,0.01984126984126977
79,4,1522700214,213,dob,full,5.075917296490791,0.7638888888888884
79,4,1522700239,341,lname,partial,5.1354411060146,0.05952380952380931
79,4,1522700241,341,dob,partial,5.4005926211661155,0.2651515151515156
79,4,1522700255,257,fname,partial,5.6320741026475964,0.23148148148148096
79,4,1522700262,77,sex,full,5.632298897436625,2.2479478902859285e-4
79,4,1522700277,265,fname,full,6.166349076648095,0.5340501792114702
79,5,1522700308,25,fname,partial,0.22522522522522523,0.22522522522522523
79,5,1522700342,132,fname,partial,0.39752110064610047,0.17229587542087524
79,5,1522700355,300,lname,full,0.771452724577724,0.3739316239316235
79,5,1522700359,300,dob,partial,1.1667518698768693,0.39529914529914534
79,5,1522700382,17,sex,full,1.1670295759885536,2.7770611168431714e-4
79,5,1522700390,124,lname,full,1.3646600021136028,0.19763042612504922
79,5,1522700410,67,fname,partial,1.6334772064146783,0.2688172043010755
79,5,1522700445,352,dob,partial,1.7062285291660004,0.07275132275132212
79,5,1522700450,352,sex,full,1.7971676826051541,0.09093915343915371
79,5,1522700457,352,fname,full,2.7049057778432495,0.9077380952380953
79,5,1522700506,149,sex,full,2.705130572632277,2.2479478902770467e-4
79,5,1522700515,86,fname,partial,2.8787416837433883,0.17361111111111116
79,5,1522700567,99,sex,full,2.8789839833922923,2.4229964890398747e-4
79,5,1522700572,110,lname,partial,2.931067316725626,0.05208333333333348
79,5,1522700574,110,dob,partial,2.9859659653742736,0.054898648648647796
79,5,1522700588,110,sex,full,3.0408646140229227,0.05489864864864913
79,5,1522700608,133,fname,full,3.5060237959752736,0.46515918195235084
79,5,1522700646,153,lname,partial,3.748929038880516,0.2429052429052425
79,5,1522700664,210,lname,partial,3.7699728099242877,0.021043771043771642
79,5,1522700696,349,dob,full,4.625870724645733,0.8558979147214449
79,5,1522700702,261,fname,full,5.031890302576065,0.4060195779303326
79,6,1522700754,27,fname,partial,0.15835496230379434,0.15835496230379434
79,6,1522700786,19,sex,full,0.1586117338681598,2.5677156436546e-4
79,6,1522700795,70,fname,partial,0.2823986223609309,0.12378688849277109
79,6,1522700803,301,lname,full,0.77644624140855,0.4940476190476191
79,6,1522700868,145,lname,full,1.2948145082555187,0.5183682668469687
79,6,1522700869,145,sex,full,1.3835569017646467,0.08874239350912805
79,6,1522700885,354,fname,full,1.9077943745315316,0.5242374727668848
79,6,1522700903,136,fname,full,2.279115108755492,0.3713207342239606
79,6,1522700914,93,sex,full,2.279357408404396,2.4229964890398747e-4
79,6,1522700930,103,lname,partial,2.4218075508545387,0.14245014245014254
79,6,1522700965,216,lname,partial,2.442851321898309,0.02104377104377031
79,6,1522700966,216,dob,full,3.255140884187871,0.8122895622895618
79,6,1522700977,33,fname,partial,3.4467117654139248,0.19157088122605392
79,6,1522700995,348,lname,partial,3.4756469505991103,0.028935185185185563
79,6,1522700996,348,dob,full,4.354186268902921,0.8785393183038104
79,6,1522701004,254,fname,partial,4.576067135945078,0.2218808670421577
79,6,1522701015,76,sex,full,4.576268215780353,2.010798352749532e-4
79,6,1522701037,23,sex,full,4.576518804991856,2.5058921150300506e-4
79,7,1522701113,22,sex,full,2.538174139051332e-4,2.538174139051332e-4
79,7,1522701130,144,lname,full,0.5653879170307633,0.5651340996168581
79,7,1522701132,144,sex,full,0.6595769336335726,0.09418901660280932
79,7,1522701138,242,dob,full,1.6027951943391003,0.9432182607055277
79,7,1522701173,361,fname,full,2.009515853617304,0.40672065927820356
82,1,1522793419,29,fname,partial,0.20213293650793648,0.20213293650793648
82,1,1522793521,60,reg,partial,0.2863080206830202,0.08417508417508371
82,1,1522793620,70,fname,partial,0.41009490917579083,0.12378688849277064
82,1,1522793664,16,sex,full,0.4103516807401568,2.5677156436598736e-4
82,1,1522793836,47,dob,partial,0.42042978605635756,0.010078105316200736
82,1,1522793921,96,reg,partial,0.4794348695712454,0.05900508351488787
82,1,1522794023,31,fname,partial,0.6405700307064061,0.16113516113516063
82,1,1522794057,152,lname,partial,0.7502191535134236,0.10964912280701755
82,2,1522794354,58,reg,partial,0.061274509803921566,0.061274509803921566
